ChkRef,Debit,Credit,Balance,Date,Description
,5.00,,,2020-12-19,CASH APP*MICHAEL POS XXXX CA US 089824 ****
,,100.00,,2020-12-17,INTERNET TFR FRM CHK XXXX
,10.00,,,2020-12-17,CASH APP*MICHAEL POS XXXX CA US 007636 ****
,31.13,,,2020-12-17,TARGET T-1888 POS Norridge IL US 077537 ****
,,35.00,,2020-12-16,INTERNET TFR FRM CHK XXXX
,34.68,,,2020-12-16,JERSEY MIKES 270 POS PARK RIDGE IL US 000049 ****
,,80.08,,2020-12-15,DEPOSIT FOSTER OFFICE
,3.95,,,2020-12-15,MCDONALD'S F83 POS HARWOOD HEIGH IL US 065866 ****
,14.76,,,2020-12-15,MCDONALD'S F83 POS HARWOOD HEIGH IL US 065583 ****
,,27.00,,2020-12-14,INTERNET TFR FRM CHK XXXX
,9.23,,,2020-12-14,MCDONALD'S F83 POS HARWOOD HEIGH IL US 023621 ****
,4.64,,,2020-12-14,MCDONALD'S F866 POS CHICAGO IL US 072982 ****
,60.00,,,2020-12-14,CASH APP*MICHAEL POS XXXX CA US 039882 ****
,10.00,,,2020-12-14,BETTERMENT SEC TRANSFER 201213 WEB
,10.00,,,2020-12-14,BETTERMENT SEC TRANSFER 201213 WEB
,37.11,,,2020-12-12,CORNER BAKERY 00 POS SKOKIE IL US 000020 ****
,,400.00,,2020-12-11,INTERNET TFR FRM CHK XXXX
,,35.00,,2020-12-11,INTERNET TFR FRM CHK XXXX
,400.00,,,2020-12-11,CASH APP*MICHAEL POS XXXX CA US 019630 ****
,,100.00,,2020-12-10,INTERNET TFR FRM CHK XXXX
,72.00,,,2020-12-08,CASH APP*MICHAEL POS XXXX CA US 026438 ****
,13.44,,,2020-12-07,CULVERS HARWOOD POS HARWOOD HEIGH IL US 053924 ****
,6.41,,,2020-12-05,MCDONALD'S F4417 POS CHICAGO IL US 020231 ****
,,100.00,,2020-12-03,INTERNET TFR FRM CHK XXXX
,8.00,,,2020-12-03,INTERNET TFR TO CHK XXXX
,200.00,,,2020-12-03,CASH APP*MIKE DO POS XXXX CA US 007675 ****
,200.00,,,2020-12-03,CASH APP*MICHAEL POS XXXX CA US 063666 ****
,23.00,,,2020-12-02,INTERNET TFR TO CHK XXXX
,,7.44,,2020-12-02,Dougherty Mike POS New York City NY US 232558 ****
,,8.00,,2020-12-02,INTERNET TFR FRM CHK XXXX
,600.00,,,2020-12-02,CASH APP*MIKE DO POS XXXX CA US 085530 ****
,85.00,,,2020-12-02,FIRST ASCENT CLI POS CHICAGO IL US 062545 ****
,2.75,,,2020-12-02,FIRST ASCENT CLI POS CHICAGO IL US 056646 ****
,,10.17,,2020-11-30,"Goldman Sachs Ba P2P WEB Dougherty,Kathl"
,2.22,,,2020-11-30,MCDONALD'S F866 POS CHICAGO IL US 004386 ****
,1.06,,,2020-11-30,WALGREENS STORE POS CHICAGO IL US 206116 ****
,140.00,,,2020-11-27,INTERNET TFR TO CHK XXXX
,,55.00,,2020-11-27,INTERNET TFR FRM CHK XXXX
,19.49,,,2020-11-27,MCDONALD'S F83 POS HARWOOD HEIGH IL US 008650 ****
,6.41,,,2020-11-27,MCDONALD'S F866 POS CHICAGO IL US 015376 ****
,55.10,,,2020-11-27,JEWEL OSCO 1296 POS CHICAGO IL US 778164 ****
,,212.00,,2020-11-25,"Goldman Sachs Ba P2P WEB Dougherty,Kathl"
,,1020.00,,2020-11-24,INTERNET TFR FRM CHK XXXX
,6.37,,,2020-11-24,MCDONALD'S F83 POS HARWOOD HEIGH IL US 085827 ****
,15.12,,,2020-11-23,EXXONMOBIL 97 POS LINCOLNWOOD IL US 072958 ****
,26.71,,,2020-11-23,JEWEL OSCO 3470 POS CHICAGO IL US 863438 ****
,10.40,,,2020-11-23,Subway 39680 POS Chicago IL US 044873 ****
,6.65,,,2020-11-23,DD/BR #343093 Q3 POS CHICAGO IL US 066739 ****
,,30.00,,2020-11-21,INTERNET TFR FRM CHK XXXX
,,400.00,,2020-11-21,INTERNET TFR FRM CHK XXXX
,100.00,,,2020-11-21,INTERNET TFR TO CHK XXXX
,312.48,,,2020-11-21,GUITAR CENTER #3 POS ARLINGTON HEI IL US 275429 ****
,13.97,,,2020-11-20,TWINSGYROS POS HARWOODHEIGH IL US 041412 ****
,10.00,,,2020-11-20,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-11-19,INTERNET TFR FRM CHK XXXX
,11.68,,,2020-11-19,CVS/PHARMACY #08 POS Chicago IL US 014649 ****
,17.23,,,2020-11-18,WENDYS #0981 POS CHICAGO IL US 432205 ****
,4.41,,,2020-11-16,MCDONALD'S F83 POS HARWOOD HEIGH IL US 007647 ****
,34.93,,,2020-11-16,PORTILLOS ADDISO POS OAK BROOK IL US 000733 ****
,18.09,,,2020-11-16,SHELL SERVICE ST POS CHICAGO IL US 057474 ****
,60.00,,,2020-11-13,5726 N. NAGLE AVE ATM CHICAGO IL US 005646 ****
,2.00,,,2020-11-13,TERMINAL SURCHARGE
,10.00,,,2020-11-13,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-11-12,INTERNET TFR FRM CHK XXXX
,30.01,,,2020-11-12,VENMO PAYMENT WEB
,9.14,,,2020-11-10,CHIPOTLE ONLINE POS CHIPOTLE.COM CA US 015314 ****
,,42.00,,2020-11-09,INTERNET TFR FRM CHK XXXX
,42.45,,,2020-11-09,CAVIAR*HONEY BUT POS WWW.DOORDASH. CA US 020054 ****
,17.98,,,2020-11-09,"Name.com, Inc POS 720-2492374 CO US 006494 ****"
,6.15,,,2020-11-09,MCDONALD'S F83 POS HARWOOD HEIGH IL US 052832 ****
,8.26,,,2020-11-06,THE HALAL GUYS - POS SKOKIE IL US 056885 ****
,10.00,,,2020-11-06,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-11-05,INTERNET TFR FRM CHK XXXX
,6.41,,,2020-11-05,MCDONALD'S F866 POS CHICAGO IL US 006057 ****
,3.95,,,2020-11-04,MCDONALD'S F83 POS HARWOOD HEIGH IL US 097467 ****
,,20.00,,2020-11-03,VENMO CASHOUT PPD
,,25.00,,2020-11-02,INTERNET TFR FRM CHK XXXX
,,14.00,,2020-10-31,INTERNET TFR FRM CHK XXXX
,13.98,,,2020-10-31,JEWEL OSCO 1296 POS CHICAGO IL US 195121 ****
,24.18,,,2020-10-31,GUITAR CENTER #3 POS ARLINGTON HEI IL US 495142 ****
,,75.00,,2020-10-30,INTERNET TFR FRM CHK XXXX
,7.52,,,2020-10-30,MCDONALD'S F4417 POS CHICAGO IL US 047402 ****
,10.00,,,2020-10-30,GOLDMAN SACHS BA COLLECTION WEB
,23.17,,,2020-10-29,CHICK-FIL-A #043 POS NILES IL US 075204 ****
,7.95,,,2020-10-26,MCDONALD'S F866 POS CHICAGO IL US 077208 ****
,3.13,,,2020-10-24,PARKINGMETER1 87 POS CHICAGO IL US 000842 ****
,10.00,,,2020-10-23,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-10-22,INTERNET TFR FRM CHK XXXX
,,10.00,,2020-10-21,INTERNET TFR FRM CHK XXXX
,9.00,,,2020-10-21,CASH APP*RYAN MC POS XXXX CA US 077430 ****
,25.64,,,2020-10-20,HOT WOKS COOL SU POS 773-2821818 IL US 021227 ****
,,2.24,,2020-10-19,Dougherty Mike POS New York City NY US 344475 ****
,6.73,,,2020-10-19,MCDONALD'S F56 POS CHICAGO IL US 032502 ****
,13.41,,,2020-10-19,CHIPOTLE 0089 POS SKOKIE IL US 000237 ****
,9.99,,,2020-10-19,DOORDASH DASHPAS POS WWW.DOORDASH. CA US 050854 ****
,13.29,,,2020-10-16,BLAZE PIZZA NILE POS NILES IL US 056939 ****
,10.00,,,2020-10-16,GOLDMAN SACHS BA COLLECTION WEB
,,80.00,,2020-10-15,INTERNET TFR FRM CHK XXXX
,45.20,,,2020-10-14,CAVIAR*HONEY BUT POS WWW.DOORDASH. CA US 035918 ****
,,30.00,,2020-10-12,INTERNET TFR FRM CHK XXXX
,13.83,,,2020-10-12,CAVIAR*HONEY BUT POS WWW.DOORDASH. CA US 053941 ****
,2.24,,,2020-10-12,7-ELEVEN POS CHICAGO IL US 976121 ****
,16.93,,,2020-10-12,BP#8935371PETERS POS CHICAGO IL US 074809 ****
,15.59,,,2020-10-10,CULVERS OF SKOKI POS SKOKIE IL US 011999 ****
,10.00,,,2020-10-09,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-10-08,INTERNET TFR FRM CHK XXXX
,11.64,,,2020-10-07,DUNKIN #342335 Q POS CHICAGO IL US 072403 ****
,,10.00,,2020-10-06,INTERNET TFR FRM CHK XXXX
,,35.00,,2020-10-05,INTERNET TFR FRM CHK XXXX
,,40.00,,2020-10-05,"Goldman Sachs Ba P2P WEB Dougherty,Kathl"
,32.65,,,2020-10-05,CAVIAR*HONEY BUT POS WWW.DOORDASH. CA US 036596 ****
,40.00,,,2020-10-05,VENMO PAYMENT WEB
,9.43,,,2020-10-03,RAISING CANE'S # POS HARWOOD HEIGH IL US 045808 ****
,4.09,,,2020-10-02,DD/BR #304935 Q3 POS CHICAGO IL US 043475 ****
,90.00,,,2020-10-02,GOLDMAN SACHS BA COLLECTION WEB
,10.00,,,2020-10-02,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-10-01,INTERNET TFR FRM CHK XXXX
,17.86,,,2020-10-01,SHELL SERVICE ST POS NILES IL US 024639 ****
,8.30,,,2020-10-01,Subway 2644 POS Chicago IL US 079872 ****
,5.50,,,2020-09-26,DUNKIN #342335 Q POS CHICAGO IL US 069942 ****
,10.00,,,2020-09-25,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-09-24,INTERNET TFR FRM CHK XXXX
,1.57,,,2020-09-24,JEWEL OSCO 3470 POS CHICAGO IL US 077449 ****
,4.51,,,2020-09-24,JEWEL OSCO 1296 POS CHICAGO IL US 506241 ****
,,3.00,,2020-09-22,VENMO REFUND PPD
,6.64,,,2020-09-22,MCDONALD'S F56 POS CHICAGO IL US 092509 ****
,3.00,,,2020-09-21,VENMO PAYMENT WEB
,30.20,,,2020-09-19,CAVIAR*ALEXANDER POS WWW.DOORDASH. CA US 012362 ****
,60.51,,,2020-09-19,CAVIAR*ZOKU POS WWW.DOORDASH. CA US 071078 ****
,,40.00,,2020-09-18,INTERNET TFR FRM CHK XXXX
,,21.75,,2020-09-18,Dougherty Mike POS New York City NY US 269612 ****
,23.78,,,2020-09-18,CAVIAR*HONEY BUT POS WWW.DOORDASH. CA US 074567 ****
,10.00,,,2020-09-18,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-09-17,INTERNET TFR FRM SAV XXXX
,22.00,,,2020-09-17,VENMO PAYMENT WEB
,31.00,,,2020-09-16,INTERNET TFR TO CHK XXXX
,,40.00,,2020-09-16,INTERNET TFR FRM CHK XXXX
,,60.00,,2020-09-16,INTERNET TFR FRM CHK XXXX
,60.00,,,2020-09-16,WITHDRAWAL FOSTER OFFICE
,15.50,,,2020-09-16,SHELL SERVICE ST POS CHICAGO IL US 017856 ****
,,15.00,,2020-09-14,INTERNET TFR FRM CHK XXXX
,7.63,,,2020-09-14,MCDONALD'S F866 POS CHICAGO IL US 022852 ****
,2.25,,,2020-09-14,WALGREENS STORE POS CHICAGO IL US 255756 ****
,50.03,,,2020-09-12,THE BAD APPLE BA POS CHICAGO IL US 012782 ****
,10.00,,,2020-09-11,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-09-10,INTERNET TFR FRM CHK XXXX
,4.97,,,2020-09-08,DD/BR #304935 Q3 POS CHICAGO IL US 038725 ****
,7.61,,,2020-09-08,AUNTIE ANNES POS NORRIDGE IL US 000039 ****
,44.02,,,2020-09-04,CAVIAR*SMALL CHE POS WWW.DOORDASH. CA US 061173 ****
,10.00,,,2020-09-04,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-09-03,INTERNET TFR FRM CHK XXXX
,16.80,,,2020-09-02,NANDO S OF OLD O POS SKOKIE IL US 042170 ****
,,20.00,,2020-09-01,INTERNET TFR FRM CHK XXXX
,,20.00,,2020-09-01,INTERNET TFR FRM CHK XXXX
,,18.75,,2020-09-01,Dougherty Mike POS New York City NY US 147004 ****
,20.00,,,2020-09-01,INTERNET TFR TO CHK XXXX
,20.00,,,2020-09-01,EXXONMOBIL 48 POS CHICAGO IL US 044902 ****
,80.00,,,2020-08-31,WITHDRAWAL LINCOLNWOOD OFF
,,5.00,,2020-08-31,INTERNET TFR FRM CHK XXXX
,6.00,,,2020-08-31,VENMO PAYMENT WEB
,20.00,,,2020-08-29,INTERNET TFR TO CHK XXXX
,18.00,,,2020-08-28,INTERNET TFR TO CHK XXXX
,10.00,,,2020-08-28,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-08-27,INTERNET TFR FRM CHK XXXX
,60.00,,,2020-08-26,WITHDRAWAL FOSTER OFFICE
,15.00,,,2020-08-26,VENMO PAYMENT WEB
,5.00,,,2020-08-24,DEBIT CARD REPLACEMENT FEE
,10.00,,,2020-08-21,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-08-20,INTERNET TFR FRM CHK XXXX
,10.00,,,2020-08-14,GOLDMAN SACHS BA COLLECTION WEB
,50.00,,,2020-08-13,INTERNET TFR TO CHK XXXX
,,75.00,,2020-08-13,INTERNET TFR FRM CHK XXXX
,40.00,,,2020-08-11,WITHDRAWAL FOSTER OFFICE
,10.00,,,2020-08-10,GOLDMAN SACHS BA COLLECTION WEB
,,75.00,,2020-08-06,INTERNET TFR FRM CHK XXXX
,,65.00,,2020-08-03,INTERNET TFR FRM CHK XXXX
,65.00,,,2020-08-03,INTERNET TFR TO CHK XXXX
,,40.00,,2020-08-01,INTERNET TFR FRM CHK XXXX
,5.00,,,2020-07-31,GOLDMAN SACHS BA COLLECTION WEB
,,5.00,,2020-07-29,INTERNET TFR FRM CHK XXXX
,14.00,,,2020-07-29,VENMO* POS Visa Direct NY US 695128 ****
,,10.00,,2020-07-28,INTERNET TFR FRM CHK XXXX
,20.00,,,2020-07-28,VENMO* POS Visa Direct NY US 455724 ****
,5.00,,,2020-07-28,CASH APP*RYAN MC POS XXXX CA US 004100 ****
,22.45,,,2020-07-27,A EAGLE OUTFTR POS BOSTON MA US 384396 ****
,10.38,,,2020-07-27,STARBUCKS STORE POS CAMBRIDGE MA US 036505 ****
,,40.00,,2020-07-27,INTERNET TFR FRM CHK XXXX
,3.99,,,2020-07-27,WALGREENS STORE POS BOSTON MA US 913180 ****
,11.72,,,2020-07-27,POKE BAR AND KIT POS BOSTON MA US 058869 ****
,1.12,,,2020-07-23,CVS/PHARMACY #03 POS Chicago IL US 028739 ****
,15.00,,,2020-07-23,SHELL SERVICE ST POS CHICAGO IL US 055118 ****
,3.06,,,2020-07-23,MCDONALD'S M6867 POS EVANSTON IL US 037830 ****
,,200.00,,2020-07-22,INTERNET TFR FRM CHK XXXX
,,60.00,,2020-07-22,"Goldman Sachs Ba P2P WEB Dougherty,Kathl"
,60.00,,,2020-07-22,730 W GRAND AVE ATM CHICAGO IL US 006790 ****
,3.50,,,2020-07-22,TERMINAL SURCHARGE
,6.76,,,2020-07-22,FIRST ASCENT CLI POS CHICAGO IL US 029736 ****
,39.00,,,2020-07-22,HOLLISTER #648 1 POS SKOKIE IL US 421440 ****
,82.69,,,2020-07-22,FINISH-LINE #033 POS SKOKIE IL US 823223 ****
,30.00,,,2020-07-22,ANTHROPOLOGIE # POS SKOKIE IL US 856830 ****
,2.20,,,2020-07-21,MCDONALD'S F866 POS CHICAGO IL US 043960 ****
,12.00,,,2020-07-21,VENMO* POS Visa Direct NY US 478539 ****
,,50.00,,2020-07-20,INTERNET TFR FRM CHK XXXX
,28.67,,,2020-07-20,BUTERA MARKET #8 POS HARWOOD HTS IL US 897558 ****
,24.70,,,2020-07-17,SQ *MAKISU SUSHI POS Skokie IL US 049991 ****
,5.00,,,2020-07-17,VENMO* POS Visa Direct NY US 288195 ****
,2.59,,,2020-07-17,BP#1700756N CENT POS CHICAGO IL US 018005 ****
,8.63,,,2020-07-17,DD/BR #304935 Q3 POS CHICAGO IL US 030620 ****
,5.00,,,2020-07-17,GOLDMAN SACHS BA COLLECTION WEB
,15.77,,,2020-07-16,12 - EC - LOU MA POS HIGHLAND PARK IL US 082488 ****
,,65.00,,2020-07-15,INTERNET TFR FRM CHK XXXX
,6.59,,,2020-07-15,WALGREENS STORE POS HIGHLAND PARK IL US 924864 ****
,3.31,,,2020-07-14,DUNKIN #342335 Q POS CHICAGO IL US 051829 ****
,5.50,,,2020-07-14,FIRST ASCENT CLI POS CHICAGO IL US 069955 ****
,20.00,,,2020-07-13,CASH APP*RYAN MC POS XXXX CA US 047414 ****
,4.99,,,2020-07-13,DUNKIN #342335 Q POS CHICAGO IL US 051183 ****
,3.73,,,2020-07-13,MCDONALD'S F83 POS HARWOOD HEIGH IL US 001697 ****
,10.57,,,2020-07-13,POTBELLY #313 POS CHICAGO IL US 081545 ****
,14.35,,,2020-07-13,BUFFALO WILD WIN POS SKOKIE IL US 065115 ****
,,50.00,,2020-07-11,INTERNET TFR FRM CHK XXXX
,,19.75,,2020-07-11,Dougherty Mike POS New York City NY US 624287 ****
,40.00,,,2020-07-10,5337 W. DEVON AVE ATM CHICAGO IL US 006704 ****
,3.00,,,2020-07-10,TERMINAL SURCHARGE
,4.00,,,2020-07-10,PARKINGMETER2 87 POS CHICAGO IL US 080208 ****
,2.48,,,2020-07-09,JEWEL OSCO 3484 POS NILES IL US 700511 ****
,30.00,,,2020-07-09,VENMO* POS Visa Direct NY US 262674 ****
,300.00,,,2020-07-08,INTERNET TFR TO CHK XXXX
,,66.00,,2020-07-06,INTERNET TFR FRM CHK XXXX
,10.00,,,2020-07-06,VENMO* POS Visa Direct NY US 642214 ****
,5.00,,,2020-07-03,GOLDMAN SACHS BA COLLECTION WEB
,7.47,,,2020-07-02,DUNKIN #342335 Q POS CHICAGO IL US 049048 ****
,66.00,,,2020-07-02,FIRST ASCENT CLI POS CHICAGO IL US 023339 ****
,8.91,,,2020-07-02,THE HALAL GUYS - POS CHICAGO IL US 032457 ****
,6.63,,,2020-07-01,MCDONALD'S F866 POS CHICAGO IL US 079369 ****
,9.89,,,2020-07-01,MCDONALD'S F83 POS HARWOOD HEIGH IL US 058788 ****
,,400.00,,2020-06-29,"Goldman Sachs Ba P2P WEB Dougherty,Kathl"
,22.47,,,2020-06-29,TST* SUSHI SONG POS DEERRFIELD BE FL US 014473 ****
,,20.00,,2020-06-27,INTERNET TFR FRM CHK XXXX
,,15.00,,2020-06-27,INTERNET TFR FRM CHK XXXX
,,20.00,,2020-06-22,INTERNET TFR FRM CHK XXXX
,5.00,,,2020-06-19,GOLDMAN SACHS BA COLLECTION WEB
,6.63,,,2020-06-13,MCDONALD'S F866 POS CHICAGO IL US 050075 ****
,,5.00,,2020-06-12,INTERNET TFR FRM CHK XXXX
,11.54,,,2020-06-12,PENN STATION 316 POS SKOKIE IL US 007338 ****
,46.07,,,2020-06-12,PENN STATION 316 POS SKOKIE IL US 007346 ****
,,12.00,,2020-06-11,INTERNET TFR FRM CHK XXXX
,,50.00,,2020-06-11,INTERNET TFR FRM CHK XXXX
,8.75,,,2020-06-11,DUNKIN #342335 Q POS CHICAGO IL US 043902 ****
,3.19,,,2020-06-09,DUNKIN #342335 Q POS CHICAGO IL US 043504 ****
,8.41,,,2020-06-09,MCDONALD'S F83 POS HARWOOD HEIGH IL US 029143 ****
,,29.55,,2020-06-08,Mike Dougherty POS Visa Direct CA US 214457 ****
,,24.75,,2020-06-08,Dougherty Mike POS New York City NY US 488410 ****
,,20.75,,2020-06-08,Dougherty Mike POS New York City NY US 273935 ****
,,90.00,,2020-06-08,DEPOSIT FOSTER OFFICE
,80.00,,,2020-06-08,INTERNET TFR TO CHK XXXX
,3.07,,,2020-06-08,JEWEL OSCO 1296 POS CHICAGO IL US 100223 ****
,60.00,,,2020-06-08,GOLDMAN SACHS BA COLLECTION WEB
,5.00,,,2020-06-05,GOLDMAN SACHS BA COLLECTION WEB
,,29.55,,2020-06-01,Mike Dougherty POS Visa Direct CA US 275877 ****
,,79.20,,2020-06-01,Dougherty Mike POS New York City NY US 111993 ****
,125.00,,,2020-06-01,GOLDMAN SACHS BA COLLECTION WEB
,,8.00,,2020-05-26,INTERNET TFR FRM CHK XXXX
,,15.00,,2020-05-26,INTERNET TFR FRM CHK XXXX
,6.00,,,2020-05-26,DUNKIN #342335 Q POS CHICAGO IL US 039753 ****
,10.81,,,2020-05-26,MCDONALD'S F866 POS CHICAGO IL US 003772 ****
,,6.00,,2020-05-23,INTERNET TFR FRM CHK XXXX
,,9.75,,2020-05-22,Dougherty Mike POS New York City NY US 208187 ****
,,19.75,,2020-05-22,Dougherty Mike POS New York City NY US 520829 ****
,5.73,,,2020-05-22,MCDONALD'S F866 POS CHICAGO IL US 073512 ****
,35.00,,,2020-05-22,ZEL*PAUL ROTH POS Visa Direct AZ US 806510 ****
,150.00,,,2020-05-22,College Savings ACH 200521 WEB
,5.00,,,2020-05-22,GOLDMAN SACHS BA COLLECTION WEB
,31.25,,,2020-05-21,JIMMY JOHNS - 56 POS 773-625-2551 IL US 003083 ****
,50.00,,,2020-05-21,GOLDMAN SACHS BA COLLECTION WEB
,,10.00,,2020-05-20,INTERNET TFR FRM CHK XXXX
,,32.00,,2020-05-20,INTERNET TFR FRM CHK XXXX
,,300.00,,2020-05-20,INTERNET TFR FRM CHK XXXX
,100.00,,,2020-05-20,INTERNET TFR TO CHK XXXX
,2.03,,,2020-05-20,CVS/PHARMACY #03 POS Chicago IL US 027304 ****
,4.90,,,2020-05-20,CVS/PHARMACY #03 POS Chicago IL US 027328 ****
,,20.00,,2020-05-15,INTERNET TFR FRM CHK XXXX
,3.19,,,2020-05-13,DUNKIN #342335 Q POS CHICAGO IL US 037525 ****
,150.00,,,2020-05-08,GOLDMAN SACHS BA COLLECTION WEB
,5.00,,,2020-05-08,GOLDMAN SACHS BA COLLECTION WEB
,3.52,,,2020-05-07,CULVERS HARWOOD POS HARWOOD HEIGH IL US 005507 ****
,26.88,,,2020-05-07,RAISING CANE'S # POS HARWOOD HEIGH IL US 033196 ****
,,28.00,,2020-05-06,INTERNET TFR FRM CHK XXXX
,100.00,,,2020-05-06,College Savings ACH 200505 WEB
,,100.00,,2020-05-05,INTERNET TFR FRM CHK XXXX
,9.35,,,2020-05-05,DUNKIN #342335 Q POS CHICAGO IL US 036019 ****
,,20.00,,2020-05-04,INTERNET TFR FRM CHK XXXX
,10.00,,,2020-05-04,BT EVERYDAYHERO3 POS 213-293-1133 SC US 044377 ****
,7.49,,,2020-05-04,WENDYS #0981 POS CHICAGO IL US 328673 ****
,5.78,,,2020-05-04,MCDONALD'S F83 POS HARWOOD HEIGH IL US 033701 ****
,20.00,,,2020-05-02,INTERNET TFR TO CHK XXXX
,100.00,,,2020-05-02,ALZHEIMERS ASSOC POS HTTPSWWW.ALZ. IL US 066555 ****
,14.52,,,2020-05-02,JEWEL OSCO 1296 POS CHICAGO IL US 521336 ****
,7.92,,,2020-04-30,DUNKIN #342335 Q POS CHICAGO IL US 035041 ****
,,259.00,,2020-04-29,IRS TREAS 310 TAX REF 042920 PPD
,1.43,,,2020-04-29,MCDONALD'S F866 POS CHICAGO IL US 009367 ****
,3.86,,,2020-04-29,MCDONALD'S F866 POS CHICAGO IL US 009366 ****
,,60.00,,2020-04-28,INTERNET TFR FRM CHK XXXX
,5.52,,,2020-04-28,DD/BR #304935 Q3 POS CHICAGO IL US 018892 ****
,34.80,,,2020-04-28,CHICK-FIL-A #043 POS 833-637-8872 IL US 048081 ****
,,55.00,,2020-04-27,INTERNET TFR FRM SAV XXXX
,,20.00,,2020-04-27,INTERNET TFR FRM SAV XXXX
,60.00,,,2020-04-27,INTERNET TFR TO SAV XXXX
,,50.00,,2020-04-27,INTERNET TFR FRM CHK XXXX
,7.70,,,2020-04-27,DUNKIN #342335 Q POS CHICAGO IL US 034286 ****
,5.71,,,2020-04-27,MARIANOS #510 POS HARWOOD HEIGH IL US 511653 ****
,4.73,,,2020-04-27,DUNKIN #342335 Q POS CHICAGO IL US 034622 ****
,5.50,,,2020-04-27,POPEYES 11027 POS CHICAGO IL US 000668 ****
,17.02,,,2020-04-27,SAVE & SHOP MARK POS CHICAGO IL US 047192 ****
,7.70,,,2020-04-25,DUNKIN #342335 Q POS CHICAGO IL US 034095 ****
,,15.00,,2020-04-22,INTERNET TFR FRM CHK XXXX
,13.26,,,2020-04-20,SAVE & SHOP MARK POS CHICAGO IL US 095521 ****
,,10.00,,2020-04-17,INTERNET TFR FRM CHK XXXX
,,10.00,,2020-04-17,INTERNET TFR FRM CHK XXXX
,15.00,,,2020-04-15,VENMO* POS Visa Direct NY US 269636 ****
,29.59,,,2020-04-11,JIMMY JOHNS - 56 POS 773-625-2551 IL US 064557 ****
,,30.00,,2020-04-10,INTERNET TFR FRM CHK XXXX
,,20.00,,2020-04-03,INTERNET TFR FRM CHK XXXX
,22.95,,,2020-04-03,JIMMY JOHNS - 56 POS CHICAGO IL US 076899 ****
,8.58,,,2020-04-03,JEWEL OSCO 1296 POS CHICAGO IL US 274886 ****
,,20.00,,2020-04-02,INTERNET TFR FRM CHK XXXX
,5.89,,,2020-03-31,MCDONALD'S F4900 POS MORTON GROVE IL US 086134 ****
,,15.00,,2020-03-30,INTERNET TFR FRM CHK XXXX
,6.93,,,2020-03-30,MARIANOS #524 POS NORTHFIELD IL US 503278 ****
,19.63,,,2020-03-25,JIMMY JOHNS - 56 POS 773-625-2551 IL US 055844 ****
,13.22,,,2020-03-21,PENN STATION 316 POS SKOKIE IL US 072540 ****
,,320.00,,2020-03-20,INTERNET TFR FRM CHK XXXX
,,40.00,,2020-03-20,INTERNET TFR FRM CHK XXXX
,331.49,,,2020-03-20,BEST BUY #319 POS NORRIDGE IL US 230236 ****
,10.39,,,2020-03-16,CHICK-FIL-A #032 POS CHICAGO IL US 017626 ****
,3.19,,,2020-03-16,MCDONALD'S F83 POS HARWOOD HEIGH IL US 011531 ****
,15.00,,,2020-03-14,INTERNET TFR TO CHK XXXX
,2.72,,,2020-03-14,9640 AMC ONLINE POS 888-440-4262 KS US 038720 ****
,,5.00,,2020-03-13,INTERNET TFR FRM CHK XXXX
,,30.00,,2020-03-13,INTERNET TFR FRM CHK XXXX
,7.02,,,2020-03-12,FIRST ASCENT CLI POS CHICAGO IL US 052775 ****
,,12.00,,2020-03-10,INTERNET TFR FRM CHK XXXX
,6.60,,,2020-03-10,SAVE & SHOP MARK POS CHICAGO IL US 120538 ****
,,10.00,,2020-03-09,INTERNET TFR FRM CHK XXXX
,6.00,,,2020-03-05,VENMO* POS Visa Direct NY US 635594 ****
,3.51,,,2020-03-04,FIRST ASCENT CLI POS CHICAGO IL US 004190 ****
,9.72,,,2020-03-04,CULVERS OF 6 COR POS CHICAGO IL US 007907 ****
,6.41,,,2020-03-04,CULVERS OF 6 COR POS CHICAGO IL US 010732 ****
,,20.00,,2020-03-03,INTERNET TFR FRM CHK XXXX
,79.00,,,2020-03-03,FIRST ASCENT CLI POS CHICAGO IL US 002227 ****
,,15.00,,2020-03-02,INTERNET TFR FRM CHK XXXX
,,80.00,,2020-03-02,INTERNET TFR FRM CHK XXXX
,10.71,,,2020-03-02,STEAMGAMES.COM 4 POS 425-8899642 WA US 071872 ****
,11.62,,,2020-03-02,CULVERS OF 6 COR POS CHICAGO IL US 003257 ****
,6.41,,,2020-03-02,CULVERS OF 6 COR POS CHICAGO IL US 007717 ****
,5.53,,,2020-02-29,SQ *HONEY BUTTER POS CHICAGO IL US 064405 ****
,14.95,,,2020-02-29,SQ *HONEY BUTTER POS CHICAGO IL US 048086 ****
